TokenAddress	TokenSymbol	Wallet	Amount
0x960b236a07cf122663c4303350609a66a7b288c0	ANT	0x3cb96f3d6b66c55c2942ebe70826f7a15b044a8a	6999980000000000000000
0x744d70fdbe2ba4cf95131626614a1763df805b9e	SNT	0x3cb96f3d6b66c55c2942ebe70826f7a15b044a8a	1090549855887740000000000
0xcfb98637bcae43c13323eaa1731ced2b716962fd	NET	0xd93719574b0bc5f691f5da8cae9599cec1f202c7	1050000000000000000000
0xaaaf91d9b90df800df4f55c205fd6989c977e73a	TKN	0x4e2d0c204554c7f9cb1e3b3ac1e83dd3b4fc9622	100000000
0xa645264c5603e96c3b0b078cdab68733794b0a71	MYST	0xd0f706bf4738732145344dc407d36b88859c3349	100000000
