wallet,amount,cumulativeAmount
0x80be1f02d789db2704be5a9f6b97ec8713ebc529,200000000000000000,218516419232897000000000
0x851286854a2c56eb74a082fdad9d3cf87a218df9,3231181432096010,218516422464078000000000
0x8a65df1c21800cb3860d7ffab517bcceea685fb0,9000000000000000,218516431464078000000000
0x8b7af85a82c081ba4ba556e925547325fae43b98,2375751000000000,218516433839829000000000
0x8bbaf6956e8e2aef3eb8f192f5eaf48b4bbbb126,51000000000000000,218516484839829000000000
0x8d2ee01dd9e947067fda69e3b62064556a92d1c8,10000000000000000,218516494839829000000000
0x8e4b3eadf078a80a3308da16fce741c2c20305a1,10000000000000000,218516504839829000000000
0x8edaaaf2f30edd0a561c219f475fff026cdac575,99493560000000000,218516604333389000000000
0x8ee1dfed72c8c401da3525033d471420a1da466b,1000000000000000,218516605333389000000000
0x8f4b3c36196a4c94c69debded3060424e339c2ea,19000000000000000,218516624333389000000000
0x90f737392c48618242b28eaa8d4fdc4793af2676,333400000000000000,218516957733389000000000
0x956ff844abd8f58add1160c62810ad34befc8bbd,977120641896435000,218517934854031000000000
0x9a89bcf8960cfa516de8521e62621fc39b3d3a04,1,218517934854031000000000
0x9ce7318fc46cddfaf3089327b4d58d54784e541c,82128068909600000000,218600062922941000000000
0x9fc9e6fe3567cfe89cf8de12ac051955b8865308,1100000000000000,218600064022941000000000
0xa113f56092cefb9255c56813de43c6ca2d80681c,17275500000000000000,218617339522941000000000
0xa6ae6a5d2853262a3f591043ea63d4b06940ef0f,21367120000000000,218617360890061000000000
0xa73c7171cda453bb44000c80f6a9221718b16211,4300000000000000,218617365190061000000000
0xa7950e88d0c41c1396fcb84c2d50286194538b8f,3700000000000000,218617368890061000000000
0xa96b0d4cacc9714f69e42bfa49cd20858eb2fe24,100000000000000000,218617468890061000000000
0xaa693f51d92179c282c700b7e2a6e7052823c291,1500000000000000000,218618968890061000000000
0xaac6ba6cb7d29722bedd1ee06bfccd30fa3c7581,48999944990000000000,218667968835051000000000
0xab88b9bc99476dd4d7d8a1d8381066519359f243,16600000000000000000,218684568835051000000000
0xae307e3871e5a321c0559fbf0233a38c937b826a,120883241813525000000000,339567810648576000000000
0xae50462e7ed5b22f31b1ed3a5ef3fb9220277ef7,499356730829999000000,340067167379406000000000
0xb1acfe19d3277c9b6e29472dbbfa0fa96f81597d,50000000000000000,340067217379406000000000
0xb52284ffe2560aae7b4b61a4fd079d9ca8a8aeac,1000000000000000,340067218379406000000000
0xb52736b178bf12f133b0bbd108650b3b4121ef5c,604072730350000000000,340671291109756000000000
0xb68dd3322631244b553fea98040399a4258cf04d,2000000000000000000,340673291109756000000000
0xb6a86c3ccb3f062e3208071cda361f7f47a6ed8e,20000000000000000000,340693291109756000000000
0xb7aa741108ae27e02401fef2101114e5b8bb0ad9,13500000000000000000,340706791109756000000000
0xb94f3a5ca67be4b33c73c16e84d7cd82277d772c,27581716989999900000,340734372826746000000000
0xbcb2797f9a74d9099d6077c743feb3bc812eb2a4,265150000000000,340734373091896000000000
0xbec591de75b8699a3ba52f073428822d0bfc0d7e,932605820062911000,340735305697716000000000
0xbf764eb314daad130dbad1f75aec54990f21c29b,40000000000000000,340735345697716000000000
0xc0968d7e104a06357c69e04e260a483b30c29a05,1000000000000000,340735346697716000000000
0xc4623b433a77b870ef7a995c1443fe2e0657992b,1107300000000000000,340736453997716000000000
0xc4724c8546c9c4e26d08182f803e0b51a061357e,77900000000000000,340736531897716000000000
